oid,typname,typnamespace,typowner,typlen,typbyval,typtype,typcategory,typispreferred,typisdefined,typdelim,typrelid,typsubscript,typelem,typarray,typinput,typoutput,typreceive,typsend,typmodin,typmodout,typanalyze,typalign,typstorage,typnotnull,typbasetype,typtypmod,typndims,typcollation,typdefaultbin,typdefault,typacl
16,bool,11,10,1,t,b,B,t,t,",",0,-,0,1000,boolin,boolout,boolrecv,boolsend,-,-,-,c,p,f,0,-1,0,0,,,
17,bytea,11,10,-1,f,b,U,f,t,",",0,-,0,1001,byteain,byteaout,bytearecv,byteasend,-,-,-,i,x,f,0,-1,0,0,,,
18,char,11,10,1,t,b,S,f,t,",",0,-,0,1002,charin,charout,charrecv,charsend,-,-,-,c,p,f,0,-1,0,0,,,
19,name,11,10,64,f,b,S,f,t,",",0,raw_array_subscript_handler,18,1003,namein,nameout,namerecv,namesend,-,-,-,c,p,f,0,-1,0,950,,,
20,int8,11,10,8,t,b,N,f,t,",",0,-,0,1016,int8in,int8out,int8recv,int8send,-,-,-,d,p,f,0,-1,0,0,,,
21,int2,11,10,2,t,b,N,f,t,",",0,-,0,1005,int2in,int2out,int2recv,int2send,-,-,-,s,p,f,0,-1,0,0,,,
22,int2vector,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,21,1006,int2vectorin,int2vectorout,int2vectorrecv,int2vectorsend,-,-,-,i,p,f,0,-1,0,0,,,
23,int4,11,10,4,t,b,N,f,t,",",0,-,0,1007,int4in,int4out,int4recv,int4send,-,-,-,i,p,f,0,-1,0,0,,,
24,regproc,11,10,4,t,b,N,f,t,",",0,-,0,1008,regprocin,regprocout,regprocrecv,regprocsend,-,-,-,i,p,f,0,-1,0,0,,,
25,text,11,10,-1,f,b,S,t,t,",",0,-,0,1009,textin,textout,textrecv,textsend,-,-,-,i,x,f,0,-1,0,100,,,
26,oid,11,10,4,t,b,N,t,t,",",0,-,0,1028,oidin,oidout,oidrecv,oidsend,-,-,-,i,p,f,0,-1,0,0,,,
27,tid,11,10,6,f,b,U,f,t,",",0,-,0,1010,tidin,tidout,tidrecv,tidsend,-,-,-,s,p,f,0,-1,0,0,,,
28,xid,11,10,4,t,b,U,f,t,",",0,-,0,1011,xidin,xidout,xidrecv,xidsend,-,-,-,i,p,f,0,-1,0,0,,,
29,cid,11,10,4,t,b,U,f,t,",",0,-,0,1012,cidin,cidout,cidrecv,cidsend,-,-,-,i,p,f,0,-1,0,0,,,
30,oidvector,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,26,1013,oidvectorin,oidvectorout,oidvectorrecv,oidvectorsend,-,-,-,i,p,f,0,-1,0,0,,,
32,pg_ddl_command,11,10,8,t,p,P,f,t,",",0,-,0,0,pg_ddl_command_in,pg_ddl_command_out,pg_ddl_command_recv,pg_ddl_command_send,-,-,-,d,p,f,0,-1,0,0,,,
71,pg_type,11,10,-1,f,c,C,f,t,",",1247,-,0,210,record_in,record_out,record_recv,record_send,-,-,-,d,x,f,0,-1,0,0,,,
75,pg_attribute,11,10,-1,f,c,C,f,t,",",1249,-,0,270,record_in,record_out,record_recv,record_send,-,-,-,d,x,f,0,-1,0,0,,,
81,pg_proc,11,10,-1,f,c,C,f,t,",",1255,-,0,272,record_in,record_out,record_recv,record_send,-,-,-,d,x,f,0,-1,0,0,,,
83,pg_class,11,10,-1,f,c,C,f,t,",",1259,-,0,273,record_in,record_out,record_recv,record_send,-,-,-,d,x,f,0,-1,0,0,,,
114,json,11,10,-1,f,b,U,f,t,",",0,-,0,199,json_in,json_out,json_recv,json_send,-,-,-,i,x,f,0,-1,0,0,,,
142,xml,11,10,-1,f,b,U,f,t,",",0,-,0,143,xml_in,xml_out,xml_recv,xml_send,-,-,-,i,x,f,0,-1,0,0,,,
143,_xml,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,142,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,0,,,
194,pg_node_tree,11,10,-1,f,b,S,f,t,",",0,-,0,0,pg_node_tree_in,pg_node_tree_out,pg_node_tree_recv,pg_node_tree_send,-,-,-,i,x,f,0,-1,0,100,,,
199,_json,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,114,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,0,,,
210,_pg_type,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,71,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,d,x,f,0,-1,0,0,,,
269,table_am_handler,11,10,4,t,p,P,f,t,",",0,-,0,0,table_am_handler_in,table_am_handler_out,-,-,-,-,-,i,p,f,0,-1,0,0,,,
